0:  zero-function
1212:  -234-043-150-141-364-782
1214:  -021-124-340-051-673
1216:  -030-234-453-160
1218:  -021-234-344-154-672
1220:  -034-240-054-162
1222:  -021-340-022-164-573
1224:  -021-344-150
1226:  -022-344-141-254-670
1228:  -021-340-152
1230:  -134-041-354-242-672
1232:  -024-234-141-340-560-783
1234:  -013-012-342-254-374-683
1236:  -134-242-124-060-154-783
1238:  -013-012-254-360-461-783
1240:  -034-023-454-143-672
1242:  -024-141-021-364-570
1244:  -023-141-021-360-572
1246:  -024-141-021-360-572
1248:  -022-011-234-560-473
1250:  -234-140-012-030-561-783
1252:  -124-040-154-230-672
1254:  -034-144-251-141-364-780
1256:  -021-020-344-151-670
1258:  -021-344-011-560
1260:  -021-020-340-151-673
1262:  -021-340-011-563
1264:  -013-342-251-364
1266:  -034-241-122-364-572
1268:  -230-013-251-463
1270:  -021-340-122-561-474
1272:  -021-121-344-560
1274:  -021-141-344-560
1276:  -021-121-340-562
1278:  -134-241-051-364
1280:  -233-043
1282:  -034-132-251-462
1284:  -131-243-053
1286:  -131-044-253
1288:  -012-341-054-263
1290:  -034-243
1292:  -131-243-030-562
1294:  -034-132-451-263
1296:  -132-234-453-063
1298:  -131-033-031-452-264-783
1300:  -131-244-053
1302:  -131-020-452-064-274
1304:  -034-244-131-464-572
1306:  -024-344-131-260-572
1308:  -131-244-234-060-572
1310:  -031-141-254-030-672
1312:  -120-042-254-234-673
1314:  -034-012-021-563-472
1316:  -131-244-024-562
1318:  -131-240-051-464
1320:  -034-012-254-462
1322:  -131-240-034-563
1324:  -021-343-131-264-054-782
1326:  -024-340-131-463-052-784
1328:  -021-123-452-361-474
1330:  -021-140-344-563
1332:  -131-040-244-563
1334:  -131-021-454
1336:  -021-143-344-254-672
1338:  -021-120-351-464
1340:  -131-030-244-563
1342:  -022-132-451-264-374
1344:  -234-043-131-560
1346:  -024-140-254-344-673
1348:  -131-043-230-562
1350:  -034-240-131-064-573
1352:  -231-132-024-044-563-782
1354:  -013-242-024-364-573
1356:  -014-342-031-154-260-782
1358:  -034-013-254-462-574
1360:  -234-043
1362:  -034-244-121-060-572
1364:  -122-341-254-063
1366:  -131-230-241-051-674
1368:  -122-042-034-264-573
1370:  -034-244-030-562
1372:  -122-343-234-063-571
1374:  -034-020-132-244-671-583
1376:  -131-044-234-560
1378:  -131-234-452-044-673
1380:  -123-132-251-044-364-783
1382:  -131-044-230-562
1384:  -132-244-041-054-364-783
1386:  -230-120-054-461-374
1388:  -034-243-144-363-574
1390:  -034-243-144-363-571
1392:  -123-042-234-563
1394:  -021-010-351-464
1396:  -131-043-123-561-230-782
1398:  -023-132-054-461-374
1400:  -010-344-030-254-673
1402:  -132-042-024-561-374
1404:  -234-043-144-363-571
1406:  -024-142-351-021-674
1408:  -123-034-234-463-570
1410:  -132-244-034-563
1412:  -014-341-254-024-672
1414:  -023-124-351-463-074
1416:  -230-034-131-463-570
1418:  -010-034-242-562
1420:  -014-023-342-164-573
1422:  -132-244-354-052-263-784
1424:  -132-234-044-562
1426:  -131-044-254-243-374-682
1428:  -014-341-254-050-672
1430:  -021-020-154-361-474
1432:  -132-044-241-364-573
1434:  -123-034-454-230-672
1436:  -021-014-351-464
1438:  -024-344-253-144-373-681
1440:  -024-234-453
1442:  -012-234-451-034-670
1444:  -013-024-341-264-573
1446:  -131-243-054-230-672
1448:  -122-341-254-034-670
1450:  -230-034-453
1452:  -234-141-040-264-572
1454:  -131-243-053-032-671
1456:  -131-043-234-354-672
1458:  -024-140-351-021-674
1460:  -131-043-230-254-673
1462:  -020-142-351-021-674
1464:  -030-024-150-241-361-784
1466:  -132-242-051-364
1468:  -234-040-131-563-274
1470:  -021-013-351-464
1472:  -132-234-021-464-572
1474:  -034-132-451-254-672
1476:  -124-341-254-050-672
1478:  -021-124-351-464
1480:  -131-021-450-364
1482:  -123-341-021-564
1484:  -021-132-342-561
1486:  -034-243-132-561
1488:  -132-234-042-562
1490:  -012-244-052-354-673
1492:  -234-044-253-151-364-782
1494:  -131-044-232-240-572-684
1496:  -021-344-012-562
1498:  -131-240-024-561-374
1500:  -132-234-053-461
1502:  -034-020-132-244-573-681
1504:  -120-024-453-234-673
1506:  -034-024-150-464-350-782
1508:  -011-244-351-021-674
1510:  -034-240-131-563-074
1512:  -024-143-021-364-573
1514:  -131-240-051-364
1516:  -024-132-034-463-571
1518:  -230-041-152-361-574
1520:  -030-234-453
1522:  -132-042-251-364
1524:  -011-243-021-351-674
1526:  -132-044-251-364
1528:  -131-040-251-364
1530:  -021-344
1532:  -014-243-351-021-674
1534:  -132-241-051-364
1536:  -233-014-450
1538:  -014-132-251-462
1540:  -032-014-253-463
1542:  -014-243
1544:  -031-143-054-364-273
1546:  -130-044-253
1548:  -030-144-253
1550:  -032-014-451-263
1552:  -120-042-254-234-164-780
1554:  -024-144-031-264-570
1556:  -131-044-244-154-672
1558:  -021-144-031-260-572
1560:  -131-014-354-244-673
1562:  -134-234-453-020-064-783
1564:  -024-343-154-064-252-782
1566:  -014-011-342-254-673
1568:  -023-234-014-453-670
1570:  -230-031-014-453-670
1572:  -032-014-244-562
1574:  -032-014-242-562
1576:  -130-044-131-264-570
1578:  -130-044-131-260-572
1580:  -234-040-154-252-672
1582:  -014-242-052-363-243-781
1584:  -021-144-234-560
1586:  -124-343-254-021-174-683
1588:  -021-144-234-161-570
1590:  -021-144-230-562
1592:  -034-243-234-561-154-782
1594:  -034-144-251-131-674
1596:  -230-141-030-261-574
1598:  -014-124-243-353-671
1600:  -123-234-014-463-570
1602:  -132-244-014-563
1604:  -131-040-154-230-672
1606:  -132-242-014-563
1608:  -030-031-144-254-670
1610:  -234-020-140-561-074
1612:  -030-031-144-250-672
1614:  -130-124-454-061-241-784
1616:  -121-044-234-560
1618:  -031-244-014-462-572
1620:  -033-144-251-364-032-782
1622:  -121-230-044-563
1624:  -122-341-254-034-474-682
1626:  -230-024-130-564-473
1628:  -134-234-053-243-674
1630:  -024-343-014-263-571
1632:  -014-234-450
1634:  -032-241-354-014-670
1636:  -021-234-014-452-672
1638:  -230-014-453
1640:  -032-234-451-160-050-784
1642:  -230-234-042-150-674
1644:  -234-040-230-162-574
1646:  -234-142-014-230-561-783
1648:  -023-234-141-064-570
1650:  -021-121-350-464-010-782
